BattlefyName,IGN,Pokepaste
clearmomdotcom,Drew,"=HYPERLINK(""https://pokepast.es/5ba9affd0118f71d"")"
johanrodriguez1017,Johan,"=HYPERLINK(""https://pokepast.es/413a846c98488e33"")"
roronoareche,Reche,"=HYPERLINK(""Dondozo @ Leftovers   Ability: Unaware   Tera Type: Grass   - Earthquake   - Wave Crash   - Tera Blast   - Protect    Dragonite @ Choice Band   Ability: Inner Focus    Tera Type: Normal   - Extreme Speed   - Outrage   - Stomping Tantrum   - Aerial Ace    Zoroark-Hisui @ Choice Specs   Ability: Illusion   Tera Type: Stellar   - Hyper Voice   - Shadow Ball   - Flamethrower   - Tera Blast    Gholdengo @ Life Orb   Ability: Good as Gold   Tera Type: Steel   - Make It Rain   - Shadow Ball   - Nasty Plot   - Protect    Incineroar @ Safety Goggles   Ability: Intimidate    Tera Type: Ghost   - Fake Out   - Knock Off   - Parting Shot   - Flare Blitz    Amoonguss @ Sitrus Berry   Ability: Regenerator    Tera Type: Water   - Spore   - Rage Powder   - Pollen Puff   - Clear Smog"")"
pokaxterm,Pingu,"=HYPERLINK(""https://pokepast.es/3a7399ce6e47ab1b"")"
JenkinsVGC,Jenkins,"=HYPERLINK(""https://pokepast.es/7b5d093631880219"")"
jtarrant1886,Joe Shoe,"=HYPERLINK(""https://pokepast.es/92fef23a7d00bc3c"")"
Darts,Darts,"=HYPERLINK(""https://pokepast.es/a97e65582433b638"")"
guriserin041104,naru,"=HYPERLINK(""https://pokepast.es/d60b17f80a7179ba"")"
Bloo50,Bloo,"=HYPERLINK(""https://pokepast.es/f447ad2fdbb5ece4"")"
strifesada,Bo,"=HYPERLINK(""https://pokepast.es/5f9cd43f0cce8caa"")"
ChessBoard,ChessBoard,"=HYPERLINK(""https://pokepast.es/63fd3335d046e7c9"")"
brycehoss01,Hoss,"=HYPERLINK(""https://pokepast.es/2fd1071aa3718f36"")"
eliasbusiness22,EliasheTrout,"=HYPERLINK(""Porygon2 @ Eviolite   Ability: Download   Level: 50   Tera Type: Fairy   - Tera Blast   - Shadow Ball   - Trick Room   - Recover    Ursaluna @ Flame Orb   Ability: Guts   Level: 50   Tera Type: Ghost   - Facade   - Headlong Rush   - Swords Dance   - Protect    Incineroar @ Sitrus Berry   Ability: Intimidate   Level: 50   Tera Type: Grass   - Fake Out   - Flare Blitz   - Knock Off   - Parting Shot    Palafin @ Clear Amulet   Ability: Zero to Hero   Level: 50   Tera Type: Fighting   - Wave Crash   - Jet Punch   - Haze   - Close Combat    Gholdengo @ Choice Specs   Ability: Good as Gold   Level: 50   Tera Type: Steel   - Make It Rain   - Shadow Ball   - Focus Blast   - Trick    Rillaboom @ Assault Vest   Ability: Grassy Surge   Level: 50   Tera Type: Grass   - Wood Hammer   - Grassy Glide   - Fake Out   - U-turn"")"
EuphITC,Euph,"=HYPERLINK(""https://pokepast.es/6d876df714dfc327"")"
jmocha,Jackson,"=HYPERLINK(""https://pokepast.es/960aa371016cedc5"")"
SupahSanti,Santino,"=HYPERLINK(""https://pokepast.es/b926a8dc0d7cbc0b"")"
7upper,John,"=HYPERLINK(""https://pokepast.es/77464c5a836f1d27"")"
zzLuu,zL,"=HYPERLINK(""https://pokepast.es/214df8a91d6c7caf"")"
KevSa,KevSa,"=HYPERLINK(""https://pokepast.es/bfbf3adf4290acda"")"
killerqueenvgc,Maura,"=HYPERLINK(""https://pokepast.es/1748a7b4bcb2145f"")"
td5611,Tyler,"=HYPERLINK(""https://pokepast.es/0e1605f76fc936c7"")"
